time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,90.7312
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,91.3935
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.0324
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.378
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.7082
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.7082
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.7082
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3679
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3452
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3679
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3679
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3679
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3679
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.7082
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,93.7082
23:58:24,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,94.3452
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,94.3227
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,93.6705
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.7038
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.046
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,91.7169
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,91.7169
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,91.7245
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,91.7245
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,91.7169
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.046
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.046
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.0555
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,92.7171
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,93.7274
23:58:24,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,93.7274
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,93.7274
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,94.4142
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,94.7475
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,94.7475
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,95.4131
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,95.7454
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,96.4441
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,96.409
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,97.442
